Player,Pos,Tm,SAW_score,SAW_rank
Dereck Lively II,C,DAL,0.39685296148234384,63
Herbert Jones,SF,NOP,0.3961952598571122,64
Kristaps Porzi??is,C,BOS,0.3942408787834426,65
T.J. McConnell,PG,IND,0.3886043859462422,66
Kentavious Caldwell-Pope,SG,DEN,0.38552169663778396,67
Max Strus,SF,CLE,0.3839553968165131,68
Luguentz Dort,SF,OKC,0.380646275599256,69
Tobias Harris,PF,PHI,0.37590150576738957,70
Caleb Martin,SF,MIA,0.374643846210392,71
Jaime Jaquez Jr.,SF,MIA,0.3727973650797326,72
Kyle Lowry,PG,PHI,0.3684940391914417,73
Jonas Valan?i?nas,C,NOP,0.36064011984293964,74
Aaron Nesmith,SF,IND,0.35935502262679236,75
Alec Burks,SG,NYK,0.3571533559432023,76
Obi Toppin,PF,IND,0.3515199742870129,77
Derrick Jones Jr.,SF,DAL,0.3488929582530522,78
Daniel Gafford,PF,DAL,0.3424420643232518,79
Jonathan Isaac,PF,ORL,0.3421166683434735,80
Eric Gordon,SG,PHO,0.3378175940655294,81
Caris LeVert,SG,CLE,0.33553711327412594,82
Naz Reid,C,MIN,0.33489735796977166,83
Nicolas Batum,PF,PHI,0.3332354808389639,84
Miles McBride,PG,NYK,0.33022612978199894,85
Wendell Carter Jr.,C,ORL,0.3294878663242564,86
Terance Mann,SG,LAC,0.32381870670179014,87
Larry Nance Jr.,C,NOP,0.32315605621503624,88
Pat Connaughton,SF,MIL,0.3190647792140504,89
Naji Marshall,SF,NOP,0.3154421309632569,90
Norman Powell,SG,LAC,0.3095955625615591,91
Josh Giddey,SG,OKC,0.30813420552775156,92
Nickeil Alexander-Walker,SG,MIN,0.3068209242440258,93
Malik Beasley,SG,MIL,0.2966519240468044,94
Mitchell Robinson,C,NYK,0.2889249187908582,95
Aaron Wiggins,SG,OKC,0.2835129140732534,96
Josh Green,SG,DAL,0.2806688486224403,97
Gary Harris,SG,ORL,0.2787225241841733,98
Ben Sheppard,SG,IND,0.2728993897402656,99
Payton Pritchard,PG,BOS,0.27287269925607116,100
Taurean Prince,PF,LAL,0.2726612257266455,101
Kyle Anderson,PF,MIN,0.2711571926570391,102
Rui Hachimura,PF,LAL,0.27019412231614304,103
Precious Achiuwa,PF,NYK,0.26747365546034807,104
Russell Westbrook,PG,LAC,0.26405145123329316,105
Isaiah Joe,SG,OKC,0.25535213420958514,106
Cason Wallace,SG,OKC,0.25357365514298624,107
Isaac Okoro,SF,CLE,0.251615540604652,108
Marcus Morris,PF,CLE,0.2500954295942854,109
Moritz Wagner,C,ORL,0.2457996084442898,110
Maxi Kleber,C,DAL,0.2430734848284871,111
Haywood Highsmith,PF,MIA,0.24122112205470278,112
Royce O'Neale,SF,PHO,0.2365329306599799,113
Christian Braun,SG,DEN,0.2333687560809017,114
Markelle Fultz,PG,ORL,0.23237934304693778,115
Jose Alvarado,PG,NOP,0.172387151299724,116
Amir Coffey,SF,LAC,0.16573508818603638,117
