Player,Pos,Tm,Hellwig_score,Hellwig_rank
Brook Lopez,C,MIL,0.22646663525487598,45
Kyrie Irving,SG,DAL,0.22613823360189078,46
Jonathan Isaac,PF,ORL,0.22576069912812868,47
Jaden McDaniels,SF,MIN,0.2234497206480709,48
Karl-Anthony Towns,PF,MIN,0.22236852925896244,49
Damian Lillard,PG,MIL,0.22151895665140597,50
Mitchell Robinson,C,NYK,0.21812531257667522,51
P.J. Washington,PF,DAL,0.216270039554474,52
Patrick Beverley,PG,MIL,0.20397754702513127,53
Jalen Suggs,SG,ORL,0.20328680131316523,54
Jalen Brunson,PG,NYK,0.20169279992640277,55
Bobby Portis,PF,MIL,0.20084564599474908,56
Devin Booker,PG,PHO,0.19939493860228064,57
Jamal Murray,PG,DEN,0.1990171605972224,58
Darius Garland,PG,CLE,0.19662699522163074,59
CJ McCollum,PG,NOP,0.19661282202269548,60
Bam Adebayo,C,MIA,0.19526870743704117,61
Obi Toppin,PF,IND,0.19437452131967226,62
T.J. McConnell,PG,IND,0.19361405575471335,63
Brandon Ingram,SF,NOP,0.18864327244605217,64
Khris Middleton,SF,MIL,0.1861086644795945,65
Derrick Jones Jr.,SF,DAL,0.181843401914626,66
Naz Reid,C,MIN,0.1817648022720264,67
Andrew Nembhard,PG,IND,0.1766333106934901,68
Kentavious Caldwell-Pope,SG,DEN,0.17561128109210355,69
Nicolas Batum,PF,PHI,0.17004286090674736,70
D'Angelo Russell,PG,LAL,0.1696306485415776,71
Larry Nance Jr.,C,NOP,0.16862631493360591,72
Caris LeVert,SG,CLE,0.1676290521738708,73
Jonas Valančiūnas,C,NOP,0.16555918375448264,74
Wendell Carter Jr.,C,ORL,0.1649525662442357,75
Pat Connaughton,SF,MIL,0.1628001639614639,76
Kyle Lowry,PG,PHI,0.15743797626609468,77
Jaime Jaquez Jr.,SF,MIA,0.15739652204789256,78
Tobias Harris,PF,PHI,0.15641062827896346,79
Precious Achiuwa,PF,NYK,0.1509637639313327,80
Alec Burks,SG,NYK,0.14586557029399416,81
Eric Gordon,SG,PHO,0.14392652624590185,82
Max Strus,SF,CLE,0.14174307149532506,83
Herbert Jones,SF,NOP,0.1411575355452913,84
Malik Beasley,SG,MIL,0.13803955551015878,85
Aaron Wiggins,SG,OKC,0.13725772886163312,86
Naji Marshall,SF,NOP,0.1369421012695171,87
Luguentz Dort,SF,OKC,0.13550107311362103,88
Caleb Martin,SF,MIA,0.1323370563825279,89
Aaron Nesmith,SF,IND,0.1296597250835898,90
Josh Giddey,SG,OKC,0.12951971276833618,91
Josh Green,SG,DAL,0.12440239752531401,92
Miles McBride,PG,NYK,0.11800416744071718,93
Kyle Anderson,PF,MIN,0.11666618708731735,94
Tyler Herro,SG,MIA,0.11440467348473515,95
Nickeil Alexander-Walker,SG,MIN,0.11209988189025266,96
Bradley Beal,SG,PHO,0.11038457648203581,97
Moritz Wagner,C,ORL,0.10841732919616731,98
Ben Sheppard,SG,IND,0.10381588681886156,99
Isaiah Joe,SG,OKC,0.10209535800304947,100
Cason Wallace,SG,OKC,0.09411268183843036,101
Markelle Fultz,PG,ORL,0.08059638193109175,102
Marcus Morris,PF,CLE,0.07781113165716635,103
Gary Harris,SG,ORL,0.07214589317769815,104
Maxi Kleber,C,DAL,0.07175382852851997,105
Taurean Prince,PF,LAL,0.07080804482572767,106
Russell Westbrook,PG,LAC,0.06622742859448516,107
Payton Pritchard,PG,BOS,0.06353149451285722,108
Isaac Okoro,SF,CLE,0.061405191743972076,109
Norman Powell,SG,LAC,0.0604173765321131,110
Christian Braun,SG,DEN,0.05632513499131664,111
Terance Mann,SG,LAC,0.05554454547294341,112
Royce O'Neale,SF,PHO,0.039226956336194885,113
Rui Hachimura,PF,LAL,0.02752350831600958,114
Haywood Highsmith,PF,MIA,0.004943627436580833,115
Amir Coffey,SF,LAC,-0.020213776063690014,116
Jose Alvarado,PG,NOP,-0.07947481722662397,117
