Player,SAW_score,SAW_rank,TOPSIS_score,TOPSIS_rank,Hellwig_score,Hellwig_rank,Pos,Tm,Srednia_ranga,Rozstep_rang,SAW_score_norm,TOPSIS_score_norm,Hellwig_score_norm,AGR_score,AGR_rank
Caris LeVert,0.3336526046026677,72,0.27696488411200265,79,0.1676290521738708,73,SG,CLE,74.66666666666667,7,0.28339201524350766,0.21279444085210902,0.4744760100061266,0.32355415536724774,78
Tobias Harris,0.3288833919202136,77,0.28395320674707797,75,0.15641062827896346,79,PF,PHI,77.0,4,0.27492215196385716,0.22482161154191344,0.452934975375115,0.31755957962696185,79
Max Strus,0.3311946914333262,75,0.2938643840614437,72,0.14174307149532506,83,SF,CLE,76.66666666666667,11,0.2790268946494597,0.2418791269889674,0.42477109499508114,0.3152257055445027,80
Derrick Jones Jr.,0.3171672703576025,82,0.26006199239483957,85,0.181843401914626,66,SF,DAL,77.66666666666667,19,0.2541149549671366,0.1837039173532021,0.5017696657719705,0.31319617936410304,81
Luguentz Dort,0.32609503769816456,80,0.2984902371770967,71,0.13550107311362103,88,SF,OKC,79.66666666666667,17,0.26997018596685346,0.24984039722693238,0.41278553404939045,0.3108653724143921,82
Wendell Carter Jr.,0.30849986829757703,88,0.26608035062682683,84,0.1649525662442357,75,C,ORL,82.33333333333333,13,0.23872211859641707,0.19406174218590178,0.46933676079966213,0.3007068738606603,83
Nicolas Batum,0.30879842841218835,87,0.2520369247669686,87,0.17004286090674736,70,PF,PHI,81.33333333333333,17,0.23925234518094704,0.16989246885579198,0.47911088010861363,0.2960852313817842,84
Aaron Nesmith,0.31571473818580464,83,0.28054211160120085,78,0.1296597250835898,90,SF,IND,83.66666666666667,12,0.2515353365429713,0.21895098625728313,0.4015692810903794,0.2906852012968779,85
Pat Connaughton,0.30969664892781074,85,0.24839763528602918,89,0.1628001639614639,76,SF,MIL,83.33333333333333,13,0.2408475361419809,0.16362911238779224,0.4652038297794585,0.28989349276974385,86
Caleb Martin,0.3207833212823613,81,0.2692820037775165,82,0.1323370563825279,89,SF,MIA,84.0,8,0.2605368654551379,0.19957190978171707,0.4067101535310525,0.2889396429226358,87
Eric Gordon,0.29759808923808506,91,0.25008895956405425,88,0.14392652624590185,82,SG,PHO,87.0,9,0.21936114975588733,0.1665399461952526,0.42896365135041487,0.2716215824338516,88
Josh Giddey,0.31402215847682513,84,0.24750224506437837,90,0.12951971276833618,91,SG,OKC,88.33333333333333,7,0.24852940670098525,0.16208811155080668,0.40130043671795246,0.2706393183232481,89
Malik Beasley,0.30892197619722417,86,0.23966970398566367,94,0.13803955551015878,85,SG,MIL,88.33333333333333,9,0.2394717593520967,0.1486080086122578,0.41765979604254405,0.26857985466896617,90
Miles McBride,0.3060921318454759,89,0.25633502718793594,86,0.11800416744071718,93,PG,NYK,89.33333333333333,7,0.23444610913310385,0.1772896676055716,0.3791888849508783,0.2636415538965179,91
